,rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address,Country,City,Latitude,Longitude
1063,1001,university chester,10915,19.5,11.0,67.0,22.1,15.8,12.7,24.8,34.8,46.6,"Parkgate Road, Chester, Cheshire, CH1 4BJ, United Kingdom",,,,,,United Kingdom, Chester,53.1908873,-2.8908955
1065,1001,chiba institute technology,9763,30.4,1.0,13.0,22.1,14.6,9.1,6.8,38.9,16.9,"2-17-1 Tsudanuma, Narashino-Shi, Chiba, 275-0016, Japan",,,,,,Japan, Chiba,35.549399,140.2647303
1066,1001,chubu university,12533,24.1,1.0,26.0,22.1,13.6,9.7,17.6,36.4,27.5,"1200 Matsumoto-cho, Kasugai, Aichi, 487-8501, Japan",,,,,,Japan, Kasugai,35.273804,137.007459
1067,1001,chungnam national university,21908,19.9,4.0,45.0,22.1,22.7,21.1,12.1,46.6,23.0,"99 Daehak-ro, Yuseong-gu, Daejeon, 34134, South Korea",,,,,,South Korea, Daejeon,36.3497007,127.3849016
1068,1001,chung yuan christian university,15926,32.9,11.0,44.0,22.1,16.8,24.6,14.8,47.2,35.2,"200 Chung Pei Rd, Chung Li District, Taoyuan City, Taiwan, 32023, Taiwan",,,,,,Taiwan, Taoyuan City,24.9929995,121.3010003
1069,1001,chuo university,26302,37.2,4.0,36.0,22.1,27.2,10.3,23.0,36.8,23.0,"742-1 Higashinakano, Hachioji-shi, Tokyo, 192-0393, Japan",,,,,,Japan, Tokyo,35.6812665,139.757653
1070,1001,cochin university science and technology,8271,18.5,0.0,36.0,22.1,23.3,10.7,7.7,34.7,14.5,"P.O Cochin, Kerala, 682022, India",,,,,,India, India,22.3511148,78.6677428
1073,1001,university concepcion,27640,17.4,1.0,51.0,22.1,15.4,11.6,19.7,56.6,48.7,"Víctor Lamas 1290, Casilla 160-C, Concepción, Chile",,,,,,Chile, Concepción,-36.8270795,-73.0502399
1074,1001,corvinus university budapest,11023,23.2,15.0,54.0,22.1,17.8,13.7,23.6,34.4,44.7,"Fovam ter 8, Budapest, Hungary",,,,,,Hungary, Budapest,47.48138955,19.14609412691246
1075,1001,cukurova university,42418,19.6,3.0,39.0,22.1,15.2,12.5,15.6,87.5,19.4,"Balcali, Saricam, Adana, 01330, Turkey",,,,,,Turkey, Adana,36.9863599,35.3252861
1076,1001,czech university life sciences prague czu,17065,20.4,20.0,53.0,22.1,17.4,13.1,18.7,49.9,53.7,"Kamýcká 129, 165 21 Praha 6, Suchdol, Czech Republic",,,,,,Czech Republic, Suchdol,49.54717,16.8966666
1077,1001,university dar es salaam,30139,19.1,0.0,32.0,22.1,14.0,7.3,20.4,34.4,46.3,"P.O. Box 35091, Dar es Salaam, Tanzania",,,,,,Tanzania, Dar es Salaam,-6.8160837,39.2803583
1078,1001,de la salle university,15604,17.8,3.0,50.0,22.1,17.1,12.9,26.4,34.4,30.7,"2401 Taft Avenue, Manila, 0922, Philippines",,,,,,Philippines, Manila,14.5948914,120.9782618
1079,1001,delhi technological university,8242,23.3,0.0,16.0,22.1,15.8,13.1,37.5,35.3,13.5,"Main Bawana Road, Shahbad Daulatpur, Delhi, DL - 42, India",,,,,,India, Delhi,28.6517178,77.2219388
1080,1001,del rosario university,10339,12.9,1.0,61.0,22.1,16.5,9.6,15.4,35.1,47.5,"Calle 12C No. 6-25, Bogata, Distrito Capital, Colombia",,,,,,Colombia, Bogata,3.4270309,-76.4995274
1081,1001,democritus university thrace,30414,49.8,3.0,54.0,22.1,14.9,11.6,32.0,35.8,31.4,"University Campus, Komotini, 69100, Greece",,,,,,Greece, Greece,38.9953683,21.9877132
1082,1001,university dhaka,34108,15.6,0.0,42.0,22.1,16.0,8.8,16.4,36.6,40.8,"Dhaka, 1000, Bangladesh",,,,,,Bangladesh,Dhaka,23.7644025,90.389015
